cellxgene,5K,10K,25K,50K,100K,250K,500K,1M,1.5M,2M
RAM_1,217028,268716,427688,662352,1213764,2782972,5391788,10621736,15773808,20944948
RAM_2,216904,268596,427060,662396,1213608,2783312,5391884,10621412,15774300,20945032
RAM_3,216752,268568,427336,662136,1213560,2783084,5391852,10621388,15774220,20945504
RAM_4,217032,268676,427040,662544,1213740,2783260,5391908,10621668,15774804,20945056
RAM_5,217009,269036,427716,662860,1213932,2783212,5392248,10621856,15774492,20945212
RAM_6,217184,268596,427700,662444,1213808,2783312,5392232,10621924,15774668,20945592
RAM_7,217008,268832,427656,662612,1213812,2783708,5391836,10621676,15774492,20945224
RAM_8,217144,268556,427372,662440,1213872,2783572,5391992,10621952,15774036,20945476
RAM_9,217188,268796,427472,662624,1213532,2783236,5392036,10621964,15774600,20945528
RAM_10,217092,268768,427896,662668,1213928,2783596,5392392,10621596,15774596,20945464
realtime_1,3.7388,3.3882,4.2641,10.6915,10.8577,19.9203,45.1952,72.0392,101.9361,147.9058
realtime_2,6.4665,3.6671,4.6532,11.1563,10.4516,20.0398,45.1319,66.8186,80.1461,147.2302
realtime_3,7.6092,3.869,4.1654,10.7568,10.4306,20.1346,45.5409,66.2601,85.0034,145.3745
realtime_4,2.3748,6.7304,2.9292,3.4687,4.3284,7.9765,13.4445,25.3724,36.5771,63.6059
realtime_5,9.0909,7.3653,10.2364,15.5569,13.5861,24.0237,49.3316,72.6039,101.2456,148.6676
realtime_6,10.4044,7.4148,7.1614,7.4816,8.8394,12.103,18.1474,30.0857,41.0813,68.1863
realtime_7,7.7002,6.5574,7.5308,9.745,9.7857,16.8451,29.0826,72.8478,100.398,152.9038
realtime_8,8.157,7.2852,7.8083,12.5046,11.5825,19.6335,38.5563,29.6525,39.0621,69.3737
realtime_9,7.0109,6.6725,7.0686,8.3492,8.8001,12.1946,18.4679,50.8917,64.9053,101.5271
realtime_10,7.27,6.6865,7.2581,8.8434,9.7603,14.8968,26.4217,44.8676,70.573,110.8339
RAM_mean,211.92,262.4,417.43,646.95,1185.31,2718.07,5265.59,10372.76,15404.64,20454.35
realtime_mean,6.9427,5.7847,6.0936,10.1702,9.9828,17.5846,35.5538,54.46,73.1812,117.906
user_time_1,1.73,1.8,1.71,2.07,2.18,3.46,5.36,8.4,12.21,16.3
sys_time_1,0.9,0.87,0.87,0.97,1.4,2.92,5.47,9.49,14.31,20.1
user_time_2,1.59,1.62,1.84,1.88,2.31,3.24,4.97,8.6,12.18,17.12
sys_time_2,0.74,0.8,0.89,1.18,1.52,2.74,4.88,9.59,14.13,20.9
user_time_3,1.65,1.6,1.69,1.84,2.19,3.18,5.24,8.68,11.88,16.1
sys_time_3,0.76,0.84,0.77,1.11,1.66,2.71,5.12,9.61,14.02,20.19
user_time_4,1.47,1.44,1.68,1.92,2.06,3.48,4.91,8.39,11.3,15.52
sys_time_4,0.65,0.54,0.84,1.19,1.29,2.83,4.92,9.1,13.73,19.14
user_time_5,1.53,1.47,1.53,1.71,1.87,3.02,4.82,8.2,11.18,14.7
sys_time_5,0.69,0.5,0.86,1.11,1.34,2.68,5.13,9.42,13.41,18.44
user_time_6,1.5,1.55,1.47,1.59,1.87,2.96,4.73,8.01,10.53,14.24
sys_time_6,0.56,0.76,0.71,0.8,1.19,2.47,4.28,8.28,13.13,17.14
user_time_7,1.42,1.49,1.48,1.69,2.02,3.02,4.65,8.37,11.01,15.3
sys_time_7,0.56,0.68,0.72,0.76,1.54,2.79,4.88,9.68,13.54,19.42
user_time_8,1.32,1.35,1.56,1.66,2.02,2.94,4.51,7.77,11,14.89
sys_time_8,0.42,0.54,0.83,0.86,1.34,2.06,4.82,8.52,11.83,17.28
user_time_9,1.33,1.34,1.41,1.6,2.05,3.1,4.66,7.94,10.73,15.11
sys_time_9,0.62,0.48,0.66,0.69,1.7,2.67,4.62,8.68,13.12,18.55
user_time_10,1.33,1.38,1.53,1.56,1.88,3.13,4.88,8.49,11.29,14.71
sys_time_10,0.56,0.5,0.79,0.78,1.32,2.64,4.76,9.02,13.33,18.41
