iSEE-loom,5K,10K,25K,50K,100K,250K,500K
RAM_1,197.1814499,197.1934891,198.1647491,286.157547,343.9332657,541.7499771,1025.340813
RAM_2,197.1638843,197.2936658,198.1645737,285.7631531,343.4473419,541.7499771,1025.340813
RAM_3,197.1613245,197.2035818,198.1647339,285.7714081,343.4472733,541.7499771,1025.340813
RAM_4,197.2867279,197.1636658,237.2749481,281.5144501,343.4481888,541.7499771,1025.340813
RAM_5,197.1613507,197.1836505,237.2747803,287.5214233,345.5008011,541.7499771,1025.340813
time_1,14.42,15.47,21.27,26.32,38.96,2280.63,13920.07
time_2,13.78,15.16,18.97,25.33,39.9,2280.63,13920.07
time_3,15.19,15.61,20.27,26.01,39.32,2280.63,13920.07
time_4,14.28,14.86,19.19,25.07,38.25,2280.63,13920.07
time_5,14.18,14.87,19.07,25.1,39.28,2280.63,13920.07
