5k,10k,25k,50k,100k,250k,500k,1m,1.5m,2m
108820,108756,108784,109036,108604,108704,109048,109128,109040,3114676
108460,109124,108516,108788,109132,109324,109000,109048,109188,2753640
109176,108344,108972,109012,109104,108988,109192,108008,109396,3112716
108920,109036,108960,108344,108948,108576,109380,109096,108616,2754492
109100,108940,107656,108848,109020,109024,109204,109008,109452,3112956
0.98,0.96,0.94,1,0.93,1.06,0.95,0.98,1.03,205.04
0.12,0.14,0.14,0.14,0.17,0.14,0.13,0.12,0.17,11.07
14.47,14.37,15.52,15.13,14.77,14.66,21.12,19.43,24.83,312.81
0.96,0.98,1.05,0.97,0.99,0.96,1.04,0.95,0.92,103.34
0.1,0.18,0.15,0.16,0.13,0.11,0.12,0.11,0.14,5.53
14.84,240,14.88,15.93,16.00,17.78,19.19,19.02,23.12,190.49
1.08,0.99,1.1,1.1,0.99,0.99,1,0.62,0.92,207.9
0.18,0.11,0.15,0.14,0.16,0.12,0.1,0.07,0.18,10.74
16.04,17.42,17.12,16.68,17.80,17.63,18.79,22.39,25.58,296.50
0.92,0.99,0.96,0.98,0.96,0.92,1.02,0.98,0.98,110.86
0.16,0.1,0.17,0.13,0.14,0.15,0.14,0.14,0.14,5.93
14.96,14.33,18.14,14.98,17.13,17.23,19.29,19.84,21.10,180.90
0.96,0.98,0.67,0.96,0.99,0.96,0.95,0.98,0.95,204.88
0.15,0.11,0.14,0.12,0.15,0.15,0.16,0.2,0.18,10.69
15.91,18.52,15.52,14.42,17.38,17.51,19.13,201,23.87,292.88
