Single Cell Browser,5k,10k,25k,50k,100k,250k,500k
RAM_1,2955896,3009460,3140784,1355272,3908292,5796168,11289040
RAM_2,2956764,3008740,3139328,1356428,3908616,5796292,11288240
RAM_3,2956324,3009360,3139992,1354432,3913156,5796940,11286152
RAM_4,2956288,3008012,3140504,1355572,3912300,5795312,11286400
RAM_5,2955356,3007256,3138908,1355828,3908756,5796172,11284836
user_1,305.62,453.71,904.08,1576.4,3163.53,7615.33,15294.48
user_2,307.15,456.32,901.53,1605.65,3132.29,7739.78,16413.07
user_3,311.36,460.81,911.14,1561.24,3214.38,7592.44,15332.48
user_4,306,461.74,914.4,1567.42,3156.64,7603.39,15192.96
user_5,300.87,457.46,898.62,1565.3,3155.11,7681.45,15340.88
sys_1,3.29,3.78,5.93,7.81,23.4,44.29,76.17
sys_2,3.44,3.37,6.07,8.11,20.02,43.6,71.56
sys_3,4.42,4.78,7.58,7.99,18.88,45.66,76.81
sys_4,3.46,3.92,5.79,8.91,19.43,44.24,78.21
sys_5,3.52,3.52,5.76,8.06,18.61,42.82,75.07
usersys_1,308.91,457.49,910.01,1584.21,3186.93,7659.62,15370.65
usersys_2,310.59,459.69,907.6,1613.76,3152.31,7783.38,16484.63
usersys_3,315.78,465.59,918.72,1569.23,3233.26,7638.1,15409.29
usersys_4,309.46,465.66,920.19,1576.33,3176.07,7647.63,15271.17
usersys_5,304.39,460.98,904.38,1573.36,3173.72,7724.27,15415.95
