SCope,5K,10K,25K,50K,100K,250K,500K
RAM_1,291344,297328,292584,293736,306756,327656,367892
RAM_2,295132,297624,292172,293688,306044,328832,367596
RAM_3,290260,297992,292216,294100,306188,327768,366804
RAM_4,292048,297832,291768,293208,306716,328472,366252
RAM_5,290316,296200,292706,291012,306416,327564,366244
user_1,3.55,3.17,3.68,4.44,6.22,10.4,17.82
user_2,3.09,3.25,3.76,4.49,6.2,9.88,17.81
user_3,3.17,3.19,3.74,4.41,5.77,10.34,17.38
user_4,3.05,3.28,3.66,4.32,5.88,9.73,17.76
user_5,3.07,3.16,3.64,4.42,5.9,9.84,17.25
sys_1,0.46,0.59,0.77,1.38,1.93,5.19,9.4
sys_2,0.4,0.55,0.9,1.3,2.26,4.84,9.79
sys_3,0.59,0.62,0.84,1.41,2.5,5.34,11.05
sys_4,0.48,0.53,0.73,1.43,2.46,5.2,10.41
sys_5,0.42,0.52,0.81,1.44,2.29,5.39,8.91
usersys_1,4.01,3.76,4.45,5.82,8.15,15.59,27.22
usersys_2,3.49,3.8,4.66,5.79,8.46,14.72,27.6
usersys_3,3.76,3.81,4.58,5.82,8.27,15.68,28.43
usersys_4,3.53,3.81,4.39,5.75,8.34,14.93,28.17
usersys_5,3.49,3.68,4.45,5.86,8.19,15.23,26.16
