UCSC_cell_browser,5k,10k,25k,50k,100k,250k,500k,1m,1.5m,2m
RAM_1,316644,368992,529792,765728,1317376,2892148,5509608,10756776,15908760,21064140
RAM_2,315972,364648,523852,759228,1313284,2888676,5505480,10756784,15919824,21056052
RAM_3,316852,370592,529536,765048,1317048,2892204,5508196,10755556,15913904,21055652
RAM_4,316856,369800,529548,765388,1317036,2893124,5509820,10754984,15911752,21059024
RAM_5,316692,370092,528988,765184,1318264,2893152,5509124,10756464,15918468,21058011
user_1,71.18,137.02,333.05,655.1,1322.22,3270.32,6591.28,13355.48,19756.16,26352.15
user_2,70.53,134.53,329.81,661.06,1305.95,3294.73,6619.87,13138.72,19585.24,26511.5
user_3,69.42,134.91,333.86,653.06,1316.63,3268.38,6665.74,13246.77,19833.61,26424.99
user_4,71.6,134.04,331.74,659.52,1312.1,3284,6568.03,13052.9,19773.27,26668.95
user_5,70.03,136.58,329.69,655.17,1326.8,3357.65,6636.78,13176.22,19637.87,26767.64
sys_1,1.74,2.23,3.89,6.6,11.58,26.36,52.35,97.62,149.59,203.32
sys_2,1.91,2.43,4.22,6.29,11.86,26.7,52.72,98.2,152.22,220.12
sys_3,1.8,2.38,4.39,6.67,11.19,26.16,51.11,96.96,151.94,206.17
sys_4,2.08,2.36,4.07,6.2,11.69,26.42,52.16,99.09,150.93,205.75
sys_5,2.48,2.33,3.57,6.22,11.29,26.43,51.85,97.96,153.87,215.23
usersys_1,72.92,139.25,336.94,661.7,1333.8,3296.68,6643.63,13453.1,19905.75,26555.47
usersys_2,72.44,136.96,334.03,667.35,1317.81,3321.43,6672.59,13236.92,19737.46,26731.62
usersys_3,71.22,137.29,338.25,659.73,1327.82,3294.54,6716.85,13343.73,19985.55,26631.16
usersys_4,73.68,136.4,335.81,665.72,1323.79,3310.42,6620.19,13151.99,19924.2,26874.7
usersys_5,72.51,138.91,333.26,661.39,1338.09,3384.08,6688.63,13274.18,19791.74,26982.87
